role_name,permission,default_granted
Reports Viewer (Pastoral),registry.firsttimers.read,FALSE
Reports Viewer (Pastoral),registry.firsttimers.update,FALSE
Reports Viewer (Pastoral),registry.people.create,FALSE
Reports Viewer (Pastoral),registry.people.delete,FALSE
Reports Viewer (Pastoral),registry.people.export,FALSE
Reports Viewer (Pastoral),registry.people.merge,FALSE
Reports Viewer (Pastoral),registry.people.read,FALSE
Reports Viewer (Pastoral),registry.people.update,FALSE
Reports Viewer (Pastoral),reports.export,TRUE
Reports Viewer (Pastoral),reports.schedule,FALSE
Reports Viewer (Pastoral),reports.view,TRUE
Reports Viewer (Pastoral),system.audit.view,FALSE
Reports Viewer (Pastoral),system.exports.full_pii,FALSE
Reports Viewer (Pastoral),system.roles.assign,FALSE
Reports Viewer (Pastoral),system.scopes.assign,FALSE
Reports Viewer (Pastoral),system.settings.manage,FALSE
Reports Viewer (Pastoral),system.users.create,FALSE
Technical Lead (Optional),cells.manage,FALSE
Technical Lead (Optional),cells.reports.approve,FALSE
Technical Lead (Optional),cells.reports.create,FALSE
Technical Lead (Optional),cells.reports.delete,FALSE
Technical Lead (Optional),cells.reports.export,FALSE
Technical Lead (Optional),cells.reports.read,FALSE
Technical Lead (Optional),cells.reports.update,FALSE
Technical Lead (Optional),finance.batches.create,FALSE
Technical Lead (Optional),finance.batches.delete,FALSE
Technical Lead (Optional),finance.batches.lock,FALSE
Technical Lead (Optional),finance.batches.read,FALSE
Technical Lead (Optional),finance.batches.unlock,FALSE
Technical Lead (Optional),finance.batches.update,FALSE
Technical Lead (Optional),finance.entries.create,FALSE
Technical Lead (Optional),finance.entries.delete,FALSE
Technical Lead (Optional),finance.entries.export,FALSE
Technical Lead (Optional),finance.entries.read,FALSE
Technical Lead (Optional),finance.entries.update,FALSE
Technical Lead (Optional),finance.lookups.manage,TRUE
Technical Lead (Optional),finance.verify,FALSE
Technical Lead (Optional),registry.admin_notes.create,FALSE
Technical Lead (Optional),registry.admin_notes.delete,FALSE
Technical Lead (Optional),registry.admin_notes.read,FALSE
Technical Lead (Optional),registry.admin_notes.update,FALSE
Technical Lead (Optional),registry.attendance.create,FALSE
Technical Lead (Optional),registry.attendance.delete,FALSE
Technical Lead (Optional),registry.attendance.export,FALSE
Technical Lead (Optional),registry.attendance.read,FALSE
Technical Lead (Optional),registry.attendance.update,FALSE
Technical Lead (Optional),registry.cells.assign,FALSE
Technical Lead (Optional),registry.departments.create,FALSE
Technical Lead (Optional),registry.departments.delete,FALSE
Technical Lead (Optional),registry.departments.read,FALSE
Technical Lead (Optional),registry.departments.update,FALSE
Technical Lead (Optional),registry.firsttimers.create,FALSE
Technical Lead (Optional),registry.firsttimers.delete,FALSE
Technical Lead (Optional),registry.firsttimers.export,FALSE
Technical Lead (Optional),registry.firsttimers.read,FALSE
Technical Lead (Optional),registry.firsttimers.update,FALSE
Technical Lead (Optional),registry.people.create,FALSE
Technical Lead (Optional),registry.people.delete,FALSE
Technical Lead (Optional),registry.people.export,FALSE
Technical Lead (Optional),registry.people.merge,FALSE
Technical Lead (Optional),registry.people.read,FALSE
Technical Lead (Optional),registry.people.update,FALSE
Technical Lead (Optional),reports.export,FALSE
Technical Lead (Optional),reports.schedule,FALSE
Technical Lead (Optional),reports.view,TRUE
Technical Lead (Optional),system.audit.view,FALSE
Technical Lead (Optional),system.exports.full_pii,FALSE
Technical Lead (Optional),system.roles.assign,FALSE
Technical Lead (Optional),system.scopes.assign,FALSE
Technical Lead (Optional),system.settings.manage,TRUE
Technical Lead (Optional),system.users.create,FALSE
Zonal Pastor (Tenant Admin),cells.manage,FALSE
Zonal Pastor (Tenant Admin),cells.reports.approve,FALSE
Zonal Pastor (Tenant Admin),cells.reports.create,FALSE
Zonal Pastor (Tenant Admin),cells.reports.delete,FALSE
